annotator,auto,human,n,pearson_r,pearson_p,spearman_r,spearman_p
burger,Flesch,citizen (duidelijkh+leesbaarh avg),29,-0.344,0.067,-0.455,0.013
burger,Flesch,duidelijkheid,29,-0.368,0.049,-0.498,0.006
burger,Flesch,leesbaarheid,29,-0.189,0.327,-0.3,0.114
burger,Flesch,actionability,29,-0.402,0.031,-0.352,0.061
burger,Contestability,citizen (duidelijkh+leesbaarh avg),29,0.388,0.038,0.435,0.018
burger,Contestability,duidelijkheid,29,0.375,0.045,0.377,0.044
burger,Contestability,leesbaarheid,29,0.266,0.162,0.243,0.204
burger,Contestability,actionability,29,-0.027,0.889,-0.14,0.467
burger,Faithfulness,citizen (duidelijkh+leesbaarh avg),29,0.095,0.623,0.112,0.563
burger,Faithfulness,duidelijkheid,29,0.112,0.562,0.268,0.161
burger,Faithfulness,leesbaarheid,29,0.038,0.844,-0.042,0.828
burger,Faithfulness,actionability,29,0.085,0.661,0.352,0.061
jurist,Faithfulness,juridische_correctheid,29,0.354,0.059,0.586,0.001
jurist,Flesch,juridische_correctheid,29,-0.643,0.0,-0.676,0.0
jurist,Contestability,juridische_correctheid,29,-0.235,0.22,-0.186,0.334
